song clean,artist clean,release year,combined,first?,year?,playcount,f*g
caught up in you,.38 special,1982,caught up in you by .38 special,1,1,82,82
fantasy girl,.38 special,,fantasy girl by .38 special,1,0,3,0
hold on loosely,.38 special,1981,hold on loosely by .38 special,1,1,85,85
rockin' into the night,.38 special,1980,rockin' into the night by .38 special,1,1,18,18
art for arts sake,10cc,1975,art for arts sake by 10cc,1,1,1,1
kryptonite,3 doors down,2000,kryptonite by 3 doors down,1,1,13,13
loser,3 doors down,2000,loser by 3 doors down,1,1,1,1
when i'm gone,3 doors down,2002,when i'm gone by 3 doors down,1,1,6,6
what's up?,4 non blondes,1992,what's up? by 4 non blondes,1,1,3,3
take on me,a-ha,1985,take on me by a-ha,1,1,1,1
baby, please don't go,ac/dc,,baby, please don't go by ac/dc,1,0,1,0
back in black,ac/dc,1980,back in black by ac/dc,1,1,97,97
big gun,ac/dc,1993,big gun by ac/dc,1,1,6,6
can't stop rock'n'roll,ac/dc,,can't stop rock'n'roll by ac/dc,1,0,5,0
dirty deeds done dirt cheap,ac/dc,1976,dirty deeds done dirt cheap by ac/dc,1,1,85,85
for those about to rock,ac/dc,1981,for those about to rock by ac/dc,1,1,46,46
girls got rhythm,ac/dc,,girls got rhythm by ac/dc,1,0,24,0
hard as a rock,ac/dc,1995,hard as a rock by ac/dc,1,1,1,1
have a drink on me,ac/dc,1980,have a drink on me by ac/dc,1,1,39,39
hells bells,ac/dc,1980,hells bells by ac/dc,1,1,74,74
highway to hell,ac/dc,1979,highway to hell by ac/dc,1,1,92,92
it's a long way to the top,ac/dc,1975,it's a long way to the top by ac/dc,1,1,39,39
jailbreak,ac/dc,1984,jailbreak by ac/dc,1,1,1,1
let there be rock,ac/dc,1977,let there be rock by ac/dc,1,1,3,3
let's get it up,ac/dc,,let's get it up by ac/dc,1,0,4,0
live wire,ac/dc,,live wire by ac/dc,1,0,2,0
moneytalks,ac/dc,,moneytalks by ac/dc,1,0,20,0
night prowler,ac/dc,1979,night prowler by ac/dc,1,1,1,1
rock and roll ain't noise pollution,ac/dc,1980,rock and roll ain't noise pollution by ac/dc,1,1,21,21
shoot to thrill,ac/dc,,shoot to thrill by ac/dc,1,0,45,0
shot down in flames,ac/dc,1979,shot down in flames by ac/dc,1,1,2,2
sin city,ac/dc,,sin city by ac/dc,1,0,1,0
t.n.t.,ac/dc,1975,t.n.t. by ac/dc,1,1,66,66
thunderstruck,ac/dc,1990,thunderstruck by ac/dc,1,1,34,34
touch too much,ac/dc,1979,touch too much by ac/dc,1,1,2,2
what do you do for money honey,ac/dc,,what do you do for money honey by ac/dc,1,0,2,0
who made who,ac/dc,1986,who made who by ac/dc,1,1,12,12
whole lotta rosie,ac/dc,1977,whole lotta rosie by ac/dc,1,1,3,3
you shook me all night long,ac/dc,1980,you shook me all night long by ac/dc,1,1,138,138
how long,ace,1974,how long by ace,1,1,1,1
dog on a leash,adelitas way,2014,dog on a leash by adelitas way,1,1,4,4
angel,aerosmith,1987,angel by aerosmith,1,1,12,12
baby, please don't go,aerosmith,,baby, please don't go by aerosmith,1,0,1,0
back in the saddle,aerosmith,1976,back in the saddle by aerosmith,1,1,39,39
big ten inch,aerosmith,1975,big ten inch by aerosmith,1,1,3,3
come together,aerosmith,,come together by aerosmith,1,0,65,0
crazy,aerosmith,1993,crazy by aerosmith,1,1,7,7
cryin',aerosmith,1993,cryin' by aerosmith,1,1,15,15
draw the line,aerosmith,1977,draw the line by aerosmith,1,1,1,1
dream on,aerosmith,1973,dream on by aerosmith,1,1,142,142
dude (looks like a lady),aerosmith,1987,dude (looks like a lady) by aerosmith,1,1,42,42
jaded,aerosmith,2001,jaded by aerosmith,1,1,1,1
janie's got a gun,aerosmith,1989,janie's got a gun by aerosmith,1,1,34,34
kings and queens,aerosmith,,kings and queens by aerosmith,1,0,1,0
last child,aerosmith,1976,last child by aerosmith,1,1,4,4
let the music do the talking,aerosmith,1985,let the music do the talking by aerosmith,1,1,1,1
livin' on the edge,aerosmith,1993,livin' on the edge by aerosmith,1,1,27,27
love in an elevator,aerosmith,1989,love in an elevator by aerosmith,1,1,35,35
mama kin,aerosmith,1973,mama kin by aerosmith,1,1,5,5
no more no more,aerosmith,1975,no more no more by aerosmith,1,1,2,2
one way street,aerosmith,,one way street by aerosmith,1,0,1,0
pink,aerosmith,1997,pink by aerosmith,1,1,1,1
rag doll,aerosmith,1987,rag doll by aerosmith,1,1,47,47
same old song and dance,aerosmith,1974,same old song and dance by aerosmith,1,1,18,18
seasons of wither,aerosmith,1974,seasons of wither by aerosmith,1,1,2,2
sweet emotion,aerosmith,1975,sweet emotion by aerosmith,1,1,141,141
the other side,aerosmith,,the other side by aerosmith,1,0,11,0
toys in the attic,aerosmith,1975,toys in the attic by aerosmith,1,1,2,2
train kept a-rollin',aerosmith,1974,train kept a-rollin' by aerosmith,1,1,15,15
walk this way,aerosmith,1975,walk this way by aerosmith,1,1,106,106
what it takes,aerosmith,1989,what it takes by aerosmith,1,1,31,31
you see me crying,aerosmith,,you see me crying by aerosmith,1,0,1,0
hand in my pocket,alanis morissette,1995,hand in my pocket by alanis morissette,1,1,1,1
you oughta know,alanis morissette,1995,you oughta know by alanis morissette,1,1,6,6
black velvet,alannah myles,1989,black velvet by alannah myles,1,1,1,1
fantasy,aldo nova,,fantasy by aldo nova,1,0,4,0
be my lover,alice cooper,,be my lover by alice cooper,1,0,1,0
billion dollar babies,alice cooper,1973,billion dollar babies by alice cooper,1,1,2,2
eighteen,alice cooper,1971,eighteen by alice cooper,1,1,4,4
elected,alice cooper,1973,elected by alice cooper,1,1,1,1
house of fire,alice cooper,,house of fire by alice cooper,1,0,1,0
i'm eighteen,alice cooper,1971,i'm eighteen by alice cooper,1,1,24,24
no more mr. nice guy,alice cooper,1973,no more mr. nice guy by alice cooper,1,1,39,39
school's out,alice cooper,1972,school's out by alice cooper,1,1,44,44
under my wheels,alice cooper,1971,under my wheels by alice cooper,1,1,18,18
welcome to my nightmare,alice cooper,1975,welcome to my nightmare by alice cooper,1,1,10,10
down in a hole,alice in chains,1992,down in a hole by alice in chains,1,1,1,1
man in the box,alice in chains,1990,man in the box by alice in chains,1,1,13,13
no excuses,alice in chains,1994,no excuses by alice in chains,1,1,2,2
rooster,alice in chains,1992,rooster by alice in chains,1,1,2,2
them bones,alice in chains,1992,them bones by alice in chains,1,1,2,2
would?,alice in chains,1992,would? by alice in chains,1,1,2,2
ain't wastin' time no more,allman brothers band,1972,ain't wastin' time no more by allman brothers band,1,1,1,1
blue sky,allman brothers band,1972,blue sky by allman brothers band,1,1,1,1
good clean fun,allman brothers band,1990,good clean fun by allman brothers band,1,1,2,2
in memory of elizabeth reed,allman brothers band,1970,in memory of elizabeth reed by allman brothers band,1,1,1,1
jessica,allman brothers band,1973,jessica by allman brothers band,1,1,12,12
melissa,allman brothers band,1972,melissa by allman brothers band,1,1,6,6
midnight rider,allman brothers band,1970,midnight rider by allman brothers band,1,1,21,21
no one to run with,allman brothers band,1994,no one to run with by allman brothers band,1,1,3,3
one way out,allman brothers band,,one way out by allman brothers band,1,0,3,0
ramblin' man,allman brothers band,1973,ramblin' man by allman brothers band,1,1,34,34
southbound,allman brothers band,,southbound by allman brothers band,1,0,2,0
statesboro blues,allman brothers band,1971,statesboro blues by allman brothers band,1,1,4,4
whippin' post,allman brothers band,,whippin' post by allman brothers band,1,0,6,0
a horse with no name,america,1972,a horse with no name by america,1,1,26,26
sister golden hair,america,1975,sister golden hair by america,1,1,19,19
ventura highway,america,1972,ventura highway by america,1,1,1,1
don't bring me down,animals ii,1966,don't bring me down by animals ii,1,1,1,1
don't let me be misunderstood,animals ii,1965,don't let me be misunderstood by animals ii,1,1,1,1
immigrant song,ann wilson,,immigrant song by ann wilson,1,0,2,0
roller,april wine,,roller by april wine,1,0,1,0
hold your head up,argent,1972,hold your head up by argent,1,1,11,11
coming into los angeles,arlo guthrie,,coming into los angeles by arlo guthrie,1,0,1,0
wayside,artful dodger,,wayside by artful dodger,1,0,1,0
heat of the moment,asia,1982,heat of the moment by asia,1,1,37,37
only time will tell,asia,1982,only time will tell by asia,1,1,3,3
so into you,atlanta rhythm section,1976,so into you by atlanta rhythm section,1,1,1,1
spooky,atlanta rhythm section,,spooky by atlanta rhythm section,1,0,1,0
like a stone,audioslave,2002,like a stone by audioslave,1,1,1,1
blondes in black cars,autograph,,blondes in black cars by autograph,1,0,1,0
turn up the radio,autograph,1984,turn up the radio by autograph,1,1,21,21
rock and roll party in the streets,axe,,rock and roll party in the streets by axe,1,0,1,0
let it ride,bachman-turner overdrive,1973,let it ride by bachman-turner overdrive,1,1,13,13
roll on down the highway,bachman-turner overdrive,,roll on down the highway by bachman-turner overdrive,1,0,5,0
takin' care of business,bachman-turner overdrive,1973,takin' care of business by bachman-turner overdrive,1,1,39,39
you ain't seen nothin' yet,bachman-turner overdrive,1974,you ain't seen nothin' yet by bachman-turner overdrive,1,1,69,69
bad company,bad company,1974,bad company by bad company,1,1,96,96
burnin' sky,bad company,1977,burnin' sky by bad company,1,1,41,41
can't get enough,bad company,1974,can't get enough by bad company,1,1,41,41
feel like makin' love,bad company,,feel like makin' love by bad company,1,0,113,0
gone gone gone,bad company,,gone gone gone by bad company,1,0,25,0
good lovin' gone bad,bad company,,good lovin' gone bad by bad company,1,0,10,0
movin' on,bad company,,movin' on by bad company,1,0,17,0
ready for love,bad company,,ready for love by bad company,1,0,45,0
rock 'n' roll fantasy,bad company,,rock 'n' roll fantasy by bad company,1,0,91,0
rock steady,bad company,,rock steady by bad company,1,0,3,0
run with the pack,bad company,,run with the pack by bad company,1,0,11,0
seagull,bad company,1974,seagull by bad company,1,1,1,1
shooting star,bad company,1975,shooting star by bad company,1,1,62,62
silver, blue and gold,bad company,,silver, blue and gold by bad company,1,0,11,0
when i see you smile,bad english,1989,when i see you smile by bad english,1,1,1,1
no matter what,badfinger,1970,no matter what by badfinger,1,1,2,2
walks like a woman,baton rouge,,walks like a woman by baton rouge,1,0,1,0
(you gotta) fight for your right (to party),beastie boys,1986,(you gotta) fight for your right (to party) by beastie boys,1,1,4,4
no sleep till brooklyn,beastie boys,1986,no sleep till brooklyn by beastie boys,1,1,3,3
loser,beck,1994,loser by beck,1,1,1,1
in a big country,big country,1983,in a big country by big country,1,1,2,2
rock around the clock,bill haley,1955,rock around the clock by bill haley,1,1,1,1
ain't no sunshine,bill withers,1971,ain't no sunshine by bill withers,1,1,1,1
cradle of love,billy idol,1990,cradle of love by billy idol,1,1,6,6
dancing with myself,billy idol,1980,dancing with myself by billy idol,1,1,20,20
eyes without a face,billy idol,1984,eyes without a face by billy idol,1,1,2,2
mony mony,billy idol,,mony mony by billy idol,1,0,21,0
rebel yell,billy idol,1984,rebel yell by billy idol,1,1,89,89
white wedding,billy idol,1982,white wedding by billy idol,1,1,84,84
allentown,billy joel,1982,allentown by billy joel,1,1,1,1
big shot,billy joel,1978,big shot by billy joel,1,1,27,27
captain jack,billy joel,1973,captain jack by billy joel,1,1,7,7
don't ask me why,billy joel,,don't ask me why by billy joel,1,0,2,0
goodnight saigon,billy joel,1983,goodnight saigon by billy joel,1,1,1,1
it's still rock and roll to me,billy joel,1980,it's still rock and roll to me by billy joel,1,1,22,22
miami 2017 {seen the lights go out on broadway} (live 1,billy joel,1976,miami 2017 {seen the lights go out on broadway} (live 1 by billy joel,1,1,5,5
movin' out (anthony's song),billy joel,1977,movin' out (anthony's song) by billy joel,1,1,26,26
my life,billy joel,1978,my life by billy joel,1,1,11,11
new york state of mind,billy joel,1976,new york state of mind by billy joel,1,1,2,2
only the good die young,billy joel,1977,only the good die young by billy joel,1,1,21,21
piano man,billy joel,1973,piano man by billy joel,1,1,37,37
prelude/angry young man,billy joel,,prelude/angry young man by billy joel,1,0,1,0
scenes from an italian restaurant,billy joel,1977,scenes from an italian restaurant by billy joel,1,1,3,3
she's always a woman,billy joel,1977,she's always a woman by billy joel,1,1,1,1
