subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,dem,rep,adjusted_dem,adjusted_rep,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
all polls,5/29/2018,1/23/2017,1/24/2017,public policy polling,b+,1043,rv,1.017907,0,48,40,46.52496,39.67207,,,http://www.publicpolicypolling.com/pdf/2015/ppp_release_national_12617.pdf,49237,78153,1/25/2017,18:00:14 29 may 2018
all polls,5/29/2018,1/30/2017,1/31/2017,public policy polling,b+,725,rv,.6707079,0,45,42,43.52496,41.67207,,,http://www.publicpolicypolling.com/pdf/2017/ppp_release_national_2217.pdf,49238,78151,2/1/2017,18:00:14 29 may 2018
all polls,5/29/2018,2/2/2017,2/6/2017,mclaughlin & associates,c-,1000,lv,.6387051,0,42.4,44,44.22918,41.44582,,,http://mclaughlinonline.com/2017/11/16/ma-national-survey-results-11-14-17/,50468,79643,2/7/2017,18:00:14 29 may 2018
all polls,5/29/2018,2/5/2017,2/6/2017,emerson college,b,617,rv,.9469491,0,48.1,46.3,48.17633,45.18064,,,http://media.wix.com/ugd/3bebb2_ad9933217cc64d9c9fdf4e34a27756c1.pdf,49292,78251,2/7/2017,18:00:14 29 may 2018
all polls,5/29/2018,2/7/2017,2/8/2017,public policy polling,b+,712,rv,.6522518,0,49,41,47.52496,40.67207,,,http://www.publicpolicypolling.com/pdf/2017/ppp_release_national_21017.pdf,49287,78162,2/9/2017,18:00:14 29 may 2018
all polls,5/29/2018,2/15/2017,2/20/2017,mclaughlin & associates,c-,1000,lv,.5990136,0,43.5,43.8,45.32918,41.24582,,,http://mclaughlinonline.com/2017/11/16/ma-national-survey-results-11-14-17/,50467,79642,2/21/2017,18:00:14 29 may 2018
all polls,5/29/2018,2/21/2017,2/22/2017,public policy polling,b+,941,rv,.9191785,0,46,43,44.52496,42.67207,,,http://www.publicpolicypolling.com/pdf/2017/ppp_release_national_22417.pdf,49324,78150,2/23/2017,18:00:14 29 may 2018
all polls,5/29/2018,3/10/2017,3/12/2017,public policy polling,b+,808,rv,.8719774,0,46,41,44.52496,40.67207,,,http://www.publicpolicypolling.com/pdf/2017/ppp_release_national_31517.pdf,49488,78145,3/13/2017,18:00:14 29 may 2018
all polls,5/29/2018,3/16/2017,3/20/2017,mclaughlin & associates,c-,1000,lv,.6966384,0,42.9,44.6,44.72918,42.04581,,,http://mclaughlinonline.com/2017/11/16/ma-national-survey-results-11-14-17/,50466,79641,3/21/2017,18:00:14 29 may 2018
all polls,5/29/2018,3/22/2017,3/27/2017,marist college,a,906,rv,1.611734,0,47,38,47.0853,38.266,,,https://www.documentcloud.org/documents/3532285-mcclatchy-marist-poll-national-nature-of-the.html,49556,78147,3/28/2017,18:00:14 29 may 2018
