chamber,bioguide,last_name,state,district,party,votes,agree_pct,predicted_agree,net_trump_vote
house,a000055,aderholt,al,4,republican,77,0.987012987012987,0.93767145,63
house,a000367,amash,mi,3,republican,77,0.558441558441558,0.83203029,9.4
house,a000369,amodei,nv,2,republican,75,0.986666666666667,0.86197752,12.3
house,a000370,adams,nc,12,democrat,74,0.148648648648649,0.17750957,-40
house,a000371,aguilar,ca,31,democrat,76,0.223684210526316,0.28294602,-21.1
house,a000372,allen,ga,12,republican,77,0.974025974025974,0.89415993,16.2
house,a000374,abraham,la,5,republican,77,0.935064935064935,0.93480209,29.4
house,a000375,arrington,tx,19,republican,76,0.973684210526316,0.93903663,49
house,b000213,barton,tx,6,republican,75,0.906666666666667,0.86197752,12.3
house,b000287,becerra,ca,34,democrat,1,0,1.4e-07,-72.9
house,b000490,bishop,ga,2,democrat,75,0.44,0.42233136,-11.7
house,b000574,blumenauer,or,3,democrat,73,0.150684931506849,0.17066929,-48.2
house,b000755,brady,tx,8,republican,77,0.987012987012987,0.93984806,48.8
house,b001227,brady,pa,1,democrat,76,0.144736842105263,0.14688926,-61.3
house,b001243,blackburn,tn,7,republican,75,0.92,0.93835975,39.3
house,b001248,burgess,tx,26,republican,75,0.96,0.92935128,26.5
house,b001250,bishop,ut,1,republican,75,0.946666666666667,0.93076304,27.3
house,b001251,butterfield,nc,1,democrat,76,0.197368421052632,0.18935522,-37
house,b001257,bilirakis,fl,12,republican,76,0.973684210526316,0.91023478,18.6
house,b001260,buchanan,fl,16,republican,72,0.986111111111111,0.84486865,10.7
house,b001269,barletta,pa,11,republican,75,0.986666666666667,0.92392692,23.8
house,b001270,bass,ca,37,democrat,72,0.0833333333333333,0.12256744,-76.1
house,b001273,black,tn,6,republican,72,0.930555555555556,0.94555333,48.9
house,b001274,brooks,al,5,republican,73,0.863013698630137,0.93529062,33.4
house,b001275,bucshon,in,8,republican,77,0.987012987012987,0.93816976,33.7
house,b001278,bonamici,or,1,democrat,77,0.168831168831169,0.26352708,-22.8
house,b001281,beatty,oh,3,democrat,77,0.181818181818182,0.18283573,-38.4
house,b001282,barr,ky,6,republican,77,0.961038961038961,0.88821089,15.3
house,b001283,bridenstine,ok,1,republican,52,0.942307692307692,0.95710611,28.7
house,b001284,brooks,in,5,republican,77,0.987012987012987,0.85880065,11.8
house,b001285,brownley,ca,26,democrat,74,0.27027027027027,0.27686375,-21.9
house,b001286,bustos,il,17,democrat,77,0.337662337662338,0.68573312,0.7
house,b001287,bera,ca,7,democrat,77,0.324675324675325,0.42391657,-11.4
house,b001289,byrne,al,1,republican,77,0.974025974025974,0.93480209,29.4
house,b001290,brat,va,7,republican,76,0.881578947368421,0.78989106,6.5
house,b001291,babin,tx,36,republican,75,0.96,0.94134893,46.8
house,b001292,beyer,va,8,democrat,73,0.164383561643836,0.14689309,-52.6
house,b001293,bishop,mi,8,republican,77,0.974025974025974,0.79477975,6.7
house,b001294,blum,ia,1,republican,76,0.921052631578947,0.74258425,3.5
house,b001295,bost,il,12,republican,76,0.986842105263158,0.8840144,14.8
house,b001296,boyle,pa,13,democrat,76,0.171052631578947,0.20088865,-33.6
house,b001297,buck,co,4,republican,75,0.866666666666667,0.92376126,23.1
house,b001298,bacon,ne,2,republican,77,0.974025974025974,0.71602304,2.2
house,b001299,banks,in,3,republican,77,0.948051948051948,0.93878303,35
house,b001300,barragn,ca,44,democrat,76,0.131578947368421,0.13875836,-70.7
house,b001301,bergman,mi,1,republican,77,0.961038961038961,0.9181886,21.3
house,b001302,biggs,az,5,republican,77,0.753246753246753,0.91750412,21.1
house,b001303,blunt rochester,de,0,democrat,75,0.253333333333333,0.41997051,-11.43051247
house,b001304,brown,md,4,democrat,73,0.191780821917808,0.14058236,-58.5
house,b001305,budd,nc,13,republican,76,0.894736842105263,0.84289882,9.4
house,c000059,calvert,ca,42,republican,77,0.987012987012987,0.86077558,12
house,c000266,chabot,oh,1,republican,77,0.948051948051948,0.7932517,6.6
house,c000537,clyburn,sc,6,democrat,70,0.171428571428571,0.19075392,-36.5
house,c000714,conyers,mi,13,democrat,53,0.132075471698113,0.13288858,-60.7
house,c000754,cooper,tn,5,democrat,77,0.38961038961039,0.31120849,-18.4
house,c000984,cummings,md,7,democrat,51,0.137254901960784,0.12805663,-55
house,c001037,capuano,ma,7,democrat,75,0.133333333333333,0.13935867,-72.2
house,c001038,crowley,ny,14,democrat,74,0.162162162162162,0.15449292,-57.9
house,c001048,culberson,tx,7,republican,77,0.987012987012987,0.64085039,-1.4
house,c001049,clay,mo,1,democrat,75,0.146666666666667,0.1524962,-58.2
house,c001051,carter,tx,31,republican,77,0.987012987012987,0.86739269,12.7
house,c001053,cole,ok,4,republican,75,0.986666666666667,0.93803164,37.4
house,c001059,costa,ca,16,democrat,71,0.507042253521127,0.26665955,-21.6
house,c001061,cleaver,mo,5,democrat,71,0.169014084507042,0.38523264,-13.5
house,c001062,conaway,tx,11,republican,77,0.987012987012987,0.93839226,58.7
house,c001063,cuellar,tx,28,democrat,77,0.675324675324675,0.29423755,-19.8
house,c001066,castor,fl,14,democrat,76,0.223684210526316,0.31708782,-18.2
house,c001067,clarke,ny,9,democrat,76,0.0921052631578947,0.14004206,-69.1
house,c001068,cohen,tn,9,democrat,77,0.168831168831169,0.14909851,-57.7
house,c001069,courtney,ct,2,democrat,76,0.25,0.60685648,-2.9
house,c001072,carson,in,7,democrat,71,0.183098591549296,0.26324333,-22.8
