cand,raised_exp,raised_act
jerry brown,35755700,20612943
bill nelson,25208444,16803512
tim kaine,26355130,18045722
richard blumenthal,16278036,8733486
joe manchin,16558376,9467003
angus king,9770367,2926581
jack reed,9876779,3960335
barbara mikulski,10810801,5508300
dan malloy,11939781,6780072
sheldon whitehouse,9876779,4883464
patrick leahy,9849930,4869504
tom carper,9844382,4882503
martin heinrich,11314523,6699291
diane feinstein,14083672,9797542
barbara boxer,33616584,29331343
ben cardin,10810801,6908143
mark dayton,5448345,1988796
heidi heitkamp,8702464,5638438
ron wyden,9986744,6930089
maria cantwell,14765281,11978158
john hickenlooper,6167605,3519365
bernie sanders,9849930,7229492
tom udall,9979836,8441116
mark warner,18570914,17098544
gary peters,11271952,10024419
dick durbin,11288086,10320048
jack markell,3084425,2410353
steve bullock,2422976,1863103
david ige,3963199,3481597
maggie hassan,5021139,4673302
peter shumlin,3127182,2815029
chris coons,9844382,9676246
gina raimondo,2150120,2086084
debbie stabenow,14338790,14376142
amy klobuchar,10151115,10203513
jay inslee,12226262,12459422
jay nixon,15687202,16038330
lincoln chafee,2150120,2561452
terry mcauliffe,37437764,37898782
martin o'malley,10532406,11049802
michael bennet,10915521,11536750
ed markey,17816842,18624052
brian schatz,5147181,6109936
john kitzhaber,4181578,5264547
steve beshear,9548210,10632441
mike beebe,3727896,5122940
jon tester,11979448,13395778
earl ray tomblin,6228899,7661976
cory booker,16248524,17718139
jeff merkley,9986744,12018377
kirsten gillibrand,13426080,15735457
patty murray,14765281,17124667
mazie hirono,2753262,5514418
joe donnelly,2840496,5661997
chris murphy,7581431,10543456
tammy baldwin,11264133,14643868
bob casey,10653868,14112753
claire mccaskill,16985892,21131810
jeanne shaheen,12218091,16515174
deval patrick,11751984,16293170
chuck schumer,13426080,19519748
bob menendez,10659885,17344783
sherrod brown,18078374,24840222
harry reid,13590983,24815104
al franken,17184198,30770856
andrew cuomo,30687790,48027072
elizabeth warren,24390214,42506349
