film,stars,rating,votes
fifty shades of grey (2015),4,3.9,34846
jurassic world (2015),4.5,4.5,34390
american sniper (2015),5,4.8,34085
furious 7 (2015),5,4.8,33538
inside out (2015),4.5,4.5,15749
the hobbit: the battle of the five armies (2014),4.5,4.3,15337
kingsman: the secret service (2015),4.5,4.2,15205
minions (2015),4,4,14998
avengers: age of ultron (2015),5,4.5,14846
into the woods (2014),3.5,3.4,13055
cinderella (2015),5,4.5,12640
ant-man (2015),5,4.5,12055
mad max: fury road (2015),4.5,4.3,10509
san andreas (2015),4.5,4.3,9749
unbroken (2014),4.5,4.1,9443
spy (2015),4.5,4.3,9418
magic mike xxl (2015),4.5,4.4,9363
trainwreck (2015),4.5,4.1,8381
mission: impossible - rogue nation (2015),4.5,4.4,8357
straight outta compton (2015),5,4.8,8096
tomorrowland (2015),4,3.7,8077
the imitation game (2014),5,4.6,8055
home (2015),4.5,4.4,7705
the divergent series: insurgent (2015),4.5,4.2,7123
selma (2014),5,4.6,7025
annie (2014),4.5,4.2,6835
taken 3 (2015),4.5,4.1,6757
the wedding ringer (2015),4.5,4.4,6506
ted 2 (2015),4.5,4.1,6437
fantastic four (2015),3,2.7,6288
terminator genisys (2015),4.5,4.2,6272
get hard (2015),4,3.9,5933
southpaw (2015),5,4.6,5597
night at the museum: secret of the tomb (2014),4.5,4.1,5445
focus (2015),4,3.9,4933
pitch perfect 2 (2015),4.5,4.2,4577
the spongebob movie: sponge out of water (2015),3.5,3.3,4493
entourage (2015),4.5,4.2,4279
birdman (2014),4,3.7,4194
jupiter ascending (2015),3.5,3.4,4122
paddington (2015),4.5,4.3,4045
pixels (2015),4.5,4.1,3886
vacation (2015),4,3.8,3815
dragon ball z: resurrection 'f' (2015),5,4.8,3740
chappie (2015),4,3.8,3642
ex machina (2015),4.5,4.1,3458
max (2015),4.5,4.5,3412
mcfarland, usa (2015),5,4.6,3364
the age of adaline (2015),4.5,4.2,3325
insidious: chapter 3 (2015),4.5,4.1,3276
top five (2014),4,3.5,3223
