name,year,team,league,goose_eggs,broken_eggs,mehs,league_average_gpct,ppf,replacement_gpct,gwar,key_retro
dolf luque,1921,cin,nl,3,1,0,0.752062,94,0.717062,0.068511,luqud101
mike kircher,1921,sln,nl,0,1,0,0.749262,96,0.7142619,-0.3714162,kircm101
slim sallee,1921,ny1,nl,13,6,2,0.746462,98,0.711462,-0.269244,salls101
lou north,1921,sln,nl,10,4,0,0.749262,96,0.7142619,0.0001731,nortl101
dana fillingim,1921,bsn,nl,4,1,1,0.749262,96,0.7142619,0.222919,filld101
speed martin,1921,chn,nl,5,2,1,0.742262,101,0.707262,0.0255665,marts102
lynn brenton,1921,cin,nl,2,1,0,0.752062,94,0.717062,-0.0786167,brenl101
pete alexander,1921,chn,nl,1,0,0,0.742262,101,0.707262,0.1522238,alexg102
fritz coumbe,1921,cin,nl,1,1,0,0.752062,94,0.717062,-0.2257445,coumf101
red causey,1921,ny1,nl,0,1,0,0.746462,98,0.711462,-0.3699602,causr101
mule watson,1921,bsn,nl,0,0,1,0.749262,96,0.7142619,,watsm103
red shea,1921,ny1,nl,5,0,1,0.746462,98,0.711462,0.7501989,shear102
tink riviere,1921,sln,nl,0,1,0,0.749262,96,0.7142619,-0.3714162,rivit101
george mohart,1921,bro,nl,0,0,0,0.738062,104,0.703062,,mohag101
stan baumgartner,1921,phi,nl,2,0,1,0.728262,111,0.693262,0.3190075,baums101
ferdie schupp,1921,bro,nl,4,1,1,0.738062,104,0.703062,0.2520388,schuf102
jack scott,1921,bsn,nl,7,1,0,0.749262,96,0.7142619,0.6686703,scotj101
al mamaux,1921,bro,nl,13,2,1,0.738062,104,0.703062,1.276116,mamaa101
rube marquard,1921,cin,nl,1,0,0,0.752062,94,0.717062,0.1471278,marqr102
rip wheeler,1921,pit,nl,0,0,0,0.742262,101,0.707262,,wheer101
lyle bigbee,1921,pit,nl,0,0,0,0.742262,101,0.707262,,bigbl101
vic keen,1921,chn,nl,0,0,0,0.742262,101,0.707262,,keenv101
garland braxton,1921,bsn,nl,0,0,1,0.749262,96,0.7142619,,braxg101
ferdie schupp,1921,sln,nl,1,0,0,0.749262,96,0.7142619,0.1485838,schuf102
lee meadows,1921,phi,nl,0,1,0,0.728262,111,0.693262,-0.3604962,meadl101
roy walker,1921,sln,nl,1,0,0,0.749262,96,0.7142619,0.1485838,walkr102
phil morrison,1921,pit,nl,0,0,0,0.742262,101,0.707262,,morrp101
eppa rixey,1921,cin,nl,5,1,2,0.752062,94,0.717062,0.3627665,rixee101
pete donohue,1921,cin,nl,4,3,0,0.752062,94,0.717062,-0.5301056,donop102
johnny cooney,1921,bsn,nl,0,0,0,0.749262,96,0.7142619,,coonj101
huck betts,1921,phi,nl,9,3,2,0.728262,111,0.693262,0.3540452,betth101
bob geary,1921,cin,nl,0,1,0,0.752062,94,0.717062,-0.3728722,gearb101
buddy napier,1921,cin,nl,0,0,1,0.752062,94,0.717062,,napib101
al pierotti,1921,bsn,nl,0,0,0,0.749262,96,0.7142619,,piera101
ira townsend,1921,bsn,nl,0,0,0,0.749262,96,0.7142619,,towni101
elmer ponder,1921,pit,nl,3,0,1,0.742262,101,0.707262,0.4566713,ponde101
fred toney,1921,ny1,nl,6,1,3,0.746462,98,0.711462,0.5302785,tonef101
jimmy ring,1921,phi,nl,0,0,1,0.728262,111,0.693262,,ringj101
jeff pfeffer,1921,bro,nl,1,1,0,0.738062,104,0.703062,-0.2111845,pfefj101
virgil cheeves,1921,chn,nl,7,0,0,0.742262,101,0.707262,1.065566,cheev101
leon cadore,1921,bro,nl,10,3,1,0.738062,104,0.703062,0.447301,cadol101
walter zink,1921,ny1,nl,0,0,0,0.746462,98,0.711462,,zinkw101
rosy ryan,1921,ny1,nl,8,4,0,0.746462,98,0.711462,-0.2795225,ryanr101
hal carlson,1921,pit,nl,6,5,0,0.742262,101,0.707262,-0.9255384,carlh101
elmer ponder,1921,chn,nl,0,1,0,0.742262,101,0.707262,-0.3677762,ponde101
earl hamilton,1921,pit,nl,6,1,2,0.742262,101,0.707262,0.5455664,hamie101
hippo vaughn,1921,chn,nl,0,0,0,0.742262,101,0.707262,,vaugh101
babe adams,1921,pit,nl,12,0,0,0.742262,101,0.707262,1.826685,adamb104
jimmy zinn,1921,pit,nl,10,3,2,0.742262,101,0.707262,0.4189091,zinnj101
drew rader,1921,pit,nl,0,0,0,0.742262,101,0.707262,,raded102
sherry smith,1921,bro,nl,14,5,0,0.738062,104,0.703062,0.3337474,smits102
jeff pfeffer,1921,sln,nl,0,0,0,0.749262,96,0.7142619,,pfefj101
duke sedgwick,1921,phi,nl,0,0,0,0.728262,111,0.693262,,sedgd101
george smith,1921,phi,nl,3,1,0,0.728262,111,0.693262,0.1180151,smitg104
dutch ruether,1921,bro,nl,1,0,2,0.738062,104,0.703062,0.1544078,ruetd101
joe oeschger,1921,bsn,nl,3,3,0,0.749262,96,0.7142619,-0.6684973,oescj101
oscar fuhr,1921,chn,nl,0,0,0,0.742262,101,0.707262,,fuhro102
art nehf,1921,ny1,nl,2,2,0,0.746462,98,0.711462,-0.4398409,nehfa101
johnny morrison,1921,pit,nl,0,0,0,0.742262,101,0.707262,,morrj105
bill pertica,1921,sln,nl,0,0,0,0.749262,96,0.7142619,,pertb101
kaiser wilhelm,1921,phi,nl,0,0,0,0.728262,111,0.693262,,wilhk101
rube benton,1921,ny1,nl,6,3,0,0.746462,98,0.711462,-0.2096419,bentr102
buck freeman,1921,chn,nl,5,0,0,0.742262,101,0.707262,0.7611188,freeb101
johnny miljus,1921,bro,nl,4,1,1,0.738062,104,0.703062,0.2520388,miljj101
lefty tyler,1921,chn,nl,3,0,0,0.742262,101,0.707262,0.4566713,tylel101
bill sherdel,1921,sln,nl,6,2,0,0.749262,96,0.7142619,0.1486703,sherb101
pol perritt,1921,ny1,nl,0,0,0,0.746462,98,0.711462,,perrp101
jesse haines,1921,sln,nl,3,0,0,0.749262,96,0.7142619,0.4457514,hainj101
hod eller,1921,cin,nl,1,1,0,0.752062,94,0.717062,-0.2257445,elleh101
jimmie keenan,1921,phi,nl,1,0,1,0.728262,111,0.693262,0.1595038,keenj103
cliff markle,1921,cin,nl,3,4,0,0.752062,94,0.717062,-1.050106,markc101
bill hubbell,1921,phi,nl,1,0,0,0.728262,111,0.693262,0.1595038,hubbb101
percy jones,1921,chn,nl,4,6,0,0.742262,101,0.707262,-1.597762,jonep101
jesse barnes,1921,ny1,nl,6,1,2,0.746462,98,0.711462,0.5302785,barnj102
clarence mitchell,1921,bro,nl,2,0,1,0.738062,104,0.703062,0.3088155,mitcc102
bill bailey,1921,sln,nl,0,0,1,0.749262,96,0.7142619,,bailb101
jesse winters,1921,phi,nl,0,0,0,0.728262,111,0.693262,,wintj101
sweetbreads bailey,1921,chn,nl,0,0,1,0.742262,101,0.707262,,bails101
eddie eayrs,1921,bsn,nl,0,0,0,0.749262,96,0.7142619,,eayre101
marv goodwin,1921,sln,nl,0,0,0,0.749262,96,0.7142619,,goodm102
clint rogge,1921,cin,nl,1,1,0,0.752062,94,0.717062,-0.2257445,roggc101
bill doak,1921,sln,nl,0,0,0,0.749262,96,0.7142619,,doakb101
lefty york,1921,chn,nl,5,1,3,0.742262,101,0.707262,0.3933426,yorkl101
chief yellow horse,1921,pit,nl,8,3,0,0.742262,101,0.707262,0.1144616,yellc101
hugh mcquillan,1921,bsn,nl,8,1,1,0.749262,96,0.7142619,0.8172541,mcquh101
george stueland,1921,chn,nl,0,0,0,0.742262,101,0.707262,,stueg101
bill hughes,1921,pit,nl,0,0,0,0.742262,101,0.707262,,hughb102
lefty weinert,1921,phi,nl,0,0,0,0.728262,111,0.693262,,weinl101
phil douglas,1921,ny1,nl,6,4,0,0.746462,98,0.711462,-0.5796021,dougp101
cy morgan,1921,bsn,nl,4,0,0,0.749262,96,0.7142619,0.5943351,morgc101
whitey glazner,1921,pit,nl,1,1,2,0.742262,101,0.707262,-0.2155525,glazw101
tony kaufmann,1921,chn,nl,3,0,0,0.742262,101,0.707262,0.4566713,kauft101
sweetbreads bailey,1921,bro,nl,0,0,0,0.738062,104,0.703062,,bails101
burleigh grimes,1921,bro,nl,0,0,0,0.738062,104,0.703062,,grimb101
charlie eckert,1922,pha,al,0,2,1,0.7100418,105,0.6750417,-0.7020434,eckec101
