performer,score per year,total score,show
michelle monaghan,4.0,4,true detective
ryan kwanten,4.0,4,true blood
siobhan finneran,2.7,8,downton abbey
aaron paul,2.6,5.25,breaking bad
jennifer morrison,2.4,7.25,house
bob odenkirk,2.4,4.75,breaking bad
kevin dunn,2.3,2.25,true detective
amanda seyfried,2.2,8.75,big love
rose byrne,1.9,5.75,damages
scott porter,1.9,9.25,friday night lights
connie britton,1.8,7.25,friday night lights
dean norris,1.8,3.5,breaking bad
michelle fairley,1.8,3.5,game of thrones
shea whigham,1.8,1.75,boardwalk empire
ginnifer goodwin,1.6,6.25,big love
diego klattenhoff,1.5,3,homeland
morena baccarin,1.5,3,homeland
allison janney,1.5,13.25,the west wing
adrianne palicki,1.4,5.75,friday night lights
jason ritter,1.4,14.25,joan of arcadia
rob lowe,1.4,12.5,the west wing
aimee teegarden,1.4,5.5,friday night lights
chlo sevigny,1.4,5.5,big love
jack huston,1.4,2.75,boardwalk empire
dan stevens,1.3,4,downton abbey
jesse spencer,1.3,4,house
bill paxton,1.3,5.25,big love
taylor kitsch,1.3,5.25,friday night lights
timothy olyphant,1.3,11.75,deadwood
milo ventimiglia,1.3,6.5,heroes
harold perrineau,1.3,6.25,lost
hayden panettiere,1.3,6.25,heroes
jeanne tripplehorn,1.3,5,big love
david zayas,1.3,2.5,dexter
james remar,1.3,2.5,dexter
paul sparks,1.3,1.25,boardwalk empire
sam trammell,1.3,1.25,true blood
vincent piazza,1.3,1.25,boardwalk empire
noah wyle,1.2,7.25,er
adrian pasdar,1.2,6,heroes
kiefer sutherland,1.2,6,24
zach gilford,1.2,4.75,friday night lights
bryan cranston,1.1,2.25,breaking bad
john hawkes,1.1,9.75,deadwood
joe mantegna,1.1,10.75,joan of arcadia
julie bowen,1.1,7.5,boston legal
daniel dae kim,1.1,5.25,lost
emilie de ravin,1.1,5.25,lost
matt ross,1.0,4,big love
robert sean leonard,1.0,3,house
betsy brandt,1.0,2,breaking bad
deborah ann woll,1.0,1,true blood
j.d. evermore,1.0,1,true detective
joe manganiello,1.0,1,true blood
matthew mcconaughey,1.0,1,true detective
michael kenneth williams,1.0,1,boardwalk empire
michael shannon,1.0,1,boardwalk empire
rory mccann,1.0,1,game of thrones
tory kittles,1.0,1,true detective
dul_ hill,0.9,8.5,the west wing
peter krause,0.9,9.25,six feet under
michael c. hall,0.9,7.125,six feet under
zachary quinto,0.9,4.5,heroes
dayton callie,0.9,8,deadwood
dylan mcdermott,0.9,9.75,the practice
edie falco,0.9,7,the sopranos
kyle chandler,0.9,3.5,friday night lights
rachel griffiths,0.9,8.5,six feet under
josh holloway,0.9,4.25,lost
maura tierney,0.8,5,er
freddy rodrguez,0.8,8,six feet under
dominic monaghan,0.8,4,lost
henry ian cusick,0.8,4,lost
julie benz,0.8,4,dexter
masi oka,0.8,4,heroes
michael emerson,0.8,4,lost
sendhil ramamurthy,0.8,4,heroes
mark valley,0.8,6.25,boston legal
lorraine bracco,0.8,6,the sopranos
louanne stephens,0.8,3,friday night lights
james gandolfini,0.7,5.75,the sopranos
mary lynn rajskub,0.7,3.5,24
drea de matteo,0.7,6.25,the sopranos
ian mcshane,0.7,6.25,deadwood
joshua malina,0.7,6.25,the west wing
douglas smith,0.7,2.75,big love
jesse plemons,0.7,2.75,friday night lights
goran visnjic,0.7,4.75,er
hugh laurie,0.7,2,house
omar epps,0.7,2,house
steve schirripa,0.7,5.25,the sopranos
amber tamblyn,0.7,6.5,joan of arcadia
greg grunberg,0.7,3.25,heroes
james spader,0.6,4.5,boston legal
kim dickens,0.6,5.75,deadwood
molly parker,0.6,5.75,deadwood
paula malcomson,0.6,5.75,deadwood
richard schiff,0.6,5.75,the west wing
joel mckinnon miller,0.6,2.5,big love
bradley whitford,0.6,5.5,the west wing
leon rippy,0.6,5.5,deadwood
jorge garcia,0.6,3,lost
sam waterston,0.6,3,law & order
minka kelly,0.6,3.5,friday night lights
zachary booth,0.6,1.75,damages
anna gunn,0.6,3.5,deadwood
michael imperioli,0.6,4.5,the sopranos
bruce dern,0.6,2.25,big love
frances conroy,0.6,5.5,six feet under
camryn manheim,0.5,6,the practice
lauren ambrose,0.5,5.25,six feet under
kelli williams,0.5,6.25,the practice
titus welliver,0.5,4.5,deadwood
jamie-lynn sigler,0.5,4,the sopranos
lisa edelstein,0.5,2,house
marg helgenberger,0.5,1,csi: crime scene investigations
carrie preston,0.5,0.5,true blood
gretchen mol,0.5,0.5,boardwalk empire
jim parrack,0.5,0.5,true blood
rutina wesley,0.5,0.5,true blood
woody harrelson,0.5,0.5,true detective
martin sheen,0.5,4.25,the west wing
rene auberjonois,0.5,3.25,boston legal
mary steenburgen,0.5,4.5,joan of arcadia
ali larter,0.5,2.25,heroes
naveen andrews,0.5,2.25,lost
tate donovan,0.5,2.25,damages
william sanderson,0.4,4,deadwood
robin weigert,0.4,3.75,deadwood
aaron himelstein,0.4,4,joan of arcadia
shawn doyle,0.4,2,big love
terry o'quinn,0.4,2,lost
yunjin kim,0.4,2,lost
sean bridgers,0.4,3.5,deadwood
steven van zandt,0.4,3,the sopranos
melora walters,0.4,1.75,big love
lisagay hamilton,0.3,4,the practice
powers boothe,0.3,3,deadwood
carlos bernard,0.3,2,24
laura innes,0.3,2,er
david harewood,0.3,1,homeland
eric dane,0.3,1,grey's anatomy
steve harris,0.3,3.5,the practice
derek phillips,0.3,1.25,friday night lights
michael welch,0.3,3,joan of arcadia
matthew fox,0.3,1.5,lost
s. epatha merkerson,0.3,1.5,law & order
anthony edwards,0.3,2,er
gaius charles,0.3,2,friday night lights
william shatner,0.3,2,boston legal
w. earl brown,0.3,2.5,deadwood
justina machado,0.3,2.75,six feet under
chris marquette,0.3,2.5,joan of arcadia
brad dourif,0.3,2.25,deadwood
mary kay place,0.3,1,big love
stacey oristano,0.3,1,friday night lights
glenn close,0.3,0.75,damages
michael stuhlbarg,0.3,0.5,boardwalk empire
morgan saylor,0.3,0.5,homeland
anna paquin,0.3,0.25,true blood
dane rhodes,0.3,0.25,true detective
joe chrest,0.3,0.25,true detective
michael hyatt,0.3,0.25,true detective
nelsan ellis,0.3,0.25,true blood
stephen graham,0.3,0.25,boardwalk empire
stephen moyer,0.3,0.25,true blood
steve buscemi,0.3,0.25,boardwalk empire
todd lowe,0.3,0.25,true blood
jim beaver,0.2,2,deadwood
keone young,0.2,2,deadwood
ashley crow,0.2,1,heroes
evangeline lilly,0.2,1,lost
jack coleman,0.2,1,heroes
yvette freeman,0.2,1,er
harry dean stanton,0.2,0.75,big love
janel moloney,0.1,1.25,the west wing
mathew st. patrick,0.1,1.25,six feet under
dominic chianese,0.1,1,the sopranos
grace zabriskie,0.1,0.5,big love
jennifer carpenter,0.1,0.25,dexter
marla sokoloff,0.1,1.25,the practice
jeffrey jones,0.1,1,deadwood
melissa fitzgerald,0.1,1,the west wing
candice bergen,0.1,0.75,boston legal
peter jacobson,0.1,0.25,house
larry cedar,0.1,0.5,deadwood
emily wagner,0.0,0.25,er
dan grimaldi,0.0,0.25,the sopranos
peter jason,0.0,0.25,deadwood
mageina tovah,0.0,0.25,joan of arcadia
michael badalucco,0.0,0.25,the practice
aida turturro,0.0,0,the sopranos
alexander skarsgrd,0.0,0,true blood
anatol yusef,0.0,0,boardwalk empire
anthony laciura,0.0,0,boardwalk empire
becky wahlstrom,0.0,0,joan of arcadia
blue deckert,0.0,0,friday night lights
bobbin bergstrom,0.0,0,house
brad leland,0.0,0,friday night lights
brady noon,0.0,0,boardwalk empire
bree seanna wall,0.0,0,deadwood
c.s. lee,0.0,0,dexter
