raiders at jets 9/7/14,,
addr_state,% sales,% ticket sold
ny,47%,45%
nj,28%,31%
ct,5%,5%
pa,4%,4%
ca,3%,3%
,,
bears at jets 9/22/14,,
addr_state,% sales,% ticket sold
ny,43%,43%
nj,25%,28%
il,9%,7%
ct,5%,4%
ca,2%,2%
,,
lions at jets 9/28/14,,
addr_state,% sales,% ticket sold
ny,49%,49%
nj,25%,28%
ct,5%,4%
mi,3%,3%
pa,2%,2%
,,
broncos at jets 10/12/14,,
addr_state,% sales,% ticket sold
ny,44%,45%
nj,23%,24%
ct,5%,5%
pa,4%,3%
qc,3%,3%
,,
bills at jets 10/26/14,,
addr_state,% sales,% ticket sold
ny,55%,56%
nj,23%,23%
ct,5%,5%
pa,2%,2%
ca,1%,1%
,,
steelers at jets 11/09/14,,
addr_state,% sales,% ticket sold
ny,39%,40%
nj,28%,30%
ct,8%,7%
pa,8%,9%
ca,2%,2%
,,
miami at jets 12/01/14,,
addr_state,% sales,% ticket sold
ny,37%,38%
nj,35%,38%
pa,5%,5%
ct,5%,5%
fl,4%,3%
,,
patiots at jets 12/21/14,,
addr_state,% sales,% ticket sold
ny,38%,38%
nj,24%,23%
ct,9%,9%
ma,7%,8%
pa,4%,3%
