date,location,lat,lng
9/5/2016,cleveland, ohio,41.49932,-81.6943605
9/5/2016,hampton, illinois,41.5558667,-90.4092971
9/6/2016,tampa, florida,27.950575,-82.4571776
9/7/2016,new york city, new york,40.7127837,-74.0059413
9/8/2016,charlotte, north carolina,35.2270869,-80.8431267
9/8/2016,kansas city, missouri,39.0997265,-94.5785667
9/9/2016,new york city, new york,40.7127837,-74.0059413
9/12/2016,new york city, new york,40.7127837,-74.0059413
9/15/2016,greensboro, north carolina,36.0726354,-79.7919754
9/15/2016,washington, dc,38.9071923,-77.0368707
9/16/2016,washington, dc,38.9071923,-77.0368707
9/17/2016,washington, dc,38.9071923,-77.0368707
9/19/2016,philadelphia, pennsylvania,39.9525839,-75.1652215
9/19/2016,new york city, new york,40.7127837,-74.0059413
9/21/2016,orlando, florida,28.5383355,-81.3792365
9/26/2016,hempstead, new york,40.7062128,-73.6187397
9/27/2016,raleigh, north carolina,35.7795897,-78.6381787
9/28/2016,durham, new hampshire,43.1339545,-70.9264393
9/29/2016,des moines, iowa,41.6005448,-93.6091064
9/30/2016,fort pierce, florida,27.4467056,-80.3256056
9/30/2016,coral springs, florida,26.271192,-80.2706044
10/2/2016,charlotte, north carolina,35.2270869,-80.8431267
10/3/2016,toledo, ohio,41.6639383,-83.555212
10/3/2016,akron, ohio,41.0814447,-81.5190053
10/4/2016,haverford, pennsylvania,40.0022406,-75.3208107
10/4/2016,harrisburg, pennsylvania,40.2731911,-76.8867008
10/5/2016,washington, dc,38.9071923,-77.0368707
10/9/2016,st. louis, missouri,38.6105426,-90.3371889
10/10/2016,detroit, michigan,42.331427,-83.0457538
10/10/2016,columbus, ohio,39.9611755,-82.9987942
10/11/2016,miami, florida,25.7616798,-80.1917902
10/12/2016,pueblo, colorado,38.2544472,-104.6091409
10/12/2016,las vegas, nevada,36.1699412,-115.1398296
10/13/2016,san francisco, california,37.7749295,-122.4194155
10/14/2016,burbank, california,34.1808392,-118.3089661
10/19/2016,las vegas, nevada,36.1699412,-115.1398296
10/20/2016,new york city, new york,40.7127837,-74.0059413
10/21/2016,cleveland, ohio,41.49932,-81.6943605
10/22/2016,pittsburgh, pennsylvania,40.4406248,-79.9958864
10/22/2016,philadelphia, pennsylvania,39.9525839,-75.1652215
10/23/2016,charlotte, north carolina,35.2270869,-80.8431267
10/23/2016,raleigh, north carolina,35.7795897,-78.6381787
10/24/2016,manchester, new hampshire,42.9956397,-71.4547891
10/25/2016,coconut creek, florida,26.2517482,-80.1789351
10/26/2016,lake worth, florida,26.6167555,-80.0684479
10/26/2016,tampa, florida,27.950575,-82.4571776
10/27/2016,winston salem, north carolina,36.0998596,-80.244216
10/27/2016,new york city, new york,40.7127837,-74.0059413
10/28/2016,cedar rapids, iowa,41.9778795,-91.6656232
10/28/2016,des moines, iowa,41.6005448,-93.6091064
10/29/2016,daytona beach, florida,29.2108147,-81.0228331
10/30/2016,wilton manors, florida,26.1603626,-80.138934
10/31/2016,kent, ohio,41.1536674,-81.3578859
10/31/2016,cincinnati, ohio,39.1031182,-84.5120196
11/1/2016,dade city, florida,28.3647248,-82.1959178
11/1/2016,sanford, florida,28.8028612,-81.269453
11/1/2016,fort lauderdale, florida,26.1224386,-80.1373174
11/2/2016,tempe, arizona,33.4255104,-111.9400054
11/2/2016,las vegas, nevada,36.1699412,-115.1398296
11/3/2016,greenville, north carolina,35.612661,-77.3663538
11/3/2016,raleigh, north carolina,35.7795897,-78.6381787
11/4/2016,pittsburgh, pennsylvania,40.4406248,-79.9958864
11/4/2016,detroit, michigan,42.331427,-83.0457538
11/5/2016,pembroke pines, florida,26.007765,-80.2962555
11/6/2016,cleveland, ohio,41.49932,-81.6943605
11/6/2016,manchester, new hampshire,42.9956397,-71.4547891
11/7/2016,oakland, pennsylvania,40.4420135,-79.9625521
11/7/2016,allendale, michigan,42.9721861,-85.9540218
11/7/2016,philadelphia, pennsylvania,39.9525839,-75.1652215
11/7/2016,raleigh, north carolina,35.7795897,-78.6381787
11/9/2016,new york city, new york,40.7127837,-74.0059413
