block,forwardasset,forwardquantity,backwardasset,backwardquantity
428940,rarepepe,1,xcp,2
429221,shitcoincard,230,xcp,13.8
429221,rarepepe,10,xcp,15
429228,shitcoincard,3,xcp,0.18
429228,rarepepe,1,xcp,1.5
429398,shitcoincard,12,xcp,0.72
429398,rarepepe,2,xcp,3
429403,rarepepe,1,xcp,1.5
429403,shitcoincard,755,xcp,45.3
429466,rarepepe,1,xcp,1.5
429480,rarepepe,45,xcp,67.5
429481,rarepepe,1,xcp,1.5
429482,rarepepe,5,xcp,7.5
429509,rarepepe,10,xcp,15
429509,shitcoincard,10,xcp,0.9
429512,shitcoincard,10,xcp,0.9
429512,rarepepe,10,xcp,15
429516,shitcoincard,22,xcp,1.98
429533,rarepepe,6,xcp,9
429534,shitcoincard,5,xcp,0.45
429535,shitcoincard,8,xcp,0.72
429550,shitcoincard,22,xcp,1.98
429550,rarepepe,2,xcp,3
429557,rarepepe,3,xcp,4.5
429557,shitcoincard,40,xcp,3.6
429557,rarepepe,3,xcp,4.5
429558,shitcoincard,75,xcp,6.75
429558,rarepepe,15,xcp,22.5
429560,rarepepe,22,xcp,33
429560,rarepepe,10,xcp,15
429574,rarepepe,10,xcp,20
429575,shitcoincard,35,xcp,3.15
429577,shitcoincard,773,xcp,69.57
429577,rarepepe,39,xcp,78
429605,goxpepe,1,xcp,0.3
429605,goxpepe,75,xcp,22.5
429680,goxpepe,1,xcp,0.3
429686,rarepepe,5,xcp,10
429770,gurupepe,4,xcp,1
429779,rarepepe,12,xcp,24
429784,rarepepe,82,xcp,164
429786,rarepepe,1,xcp,2
429859,goxpepe,2,xcp,0.6
429956,xcp,2.5,rarepepe,1
429980,pepenation,3,xcp,0.3
429997,dankpepe,2,xcp,1
430003,dankpepe,1,xcp,0.5
430075,goxpepe,3,xcp,0.9
430091,dankpepe,1,xcp,0.125
430110,pepenation,10,xcp,1
430123,xcp,1.75,rarepepe,1
430123,xcp,1.75,rarepepe,1
430155,rarepepe,2,xcp,3.5
430167,xcp,0.2,pepeparty,1
430253,goxpepe,1,xcp,0.3
430253,pepenation,1,xcp,0.1
430253,dankpepe,1,xcp,0.125
430253,gurupepe,1,xcp,0.25
430253,pepeparty,1,xcp,0.2
430404,bupepe,10,xcp,0.1
430525,lovepepetato,1,xcp,1
430533,rarepepe,1,xcp,2.25
430534,goxpepe,1,xcp,0.3
430534,trumprare,1,xcp,0.02
430546,goxpepe,200,xcp,60
430547,shitcoincard,400,xcp,48
430548,keiserpepe,1,xcp,0.3
430553,shitcoincard,1,xcp,0.12
430575,rarepepe,2,xcp,7
430575,rarepepe,1,xcp,3.5
430576,dankpepe,5,xcp,0.625
430576,trumprare,5,xcp,0.95
430576,goxpepe,5,xcp,1.5
430576,shitcoincard,10,xcp,1.2
430576,lovepepetato,3,xcp,3
430577,bupepe,200,xcp,2
430577,pepenation,5,xcp,0.5
430577,pepeparty,5,xcp,1
430579,goxpepe,10,xcp,3
430597,keiserpepe,5,xcp,1.5
430684,hyippepe,5,xcp,0.5
430686,bupepe,1,xcp,0.01
430696,rarepepe,1,xcp,2
430759,hyippepe,45,xcp,4.5
430965,rarepepe,10,xcp,25
430966,shitcoincard,21,xcp,2.31
430985,lovepepetato,2,xcp,2
430985,hyippepe,10,xcp,1.45
430986,pepejointsph,1000,xcp,3.1
430986,stillpepe,50,xcp,5
430986,pepeparty,93,xcp,18.6
430986,pepetration,1,xcp,0.75
430996,lovepepetato,1,xcp,1
430996,pepetration,3,xcp,2.25
430997,rarepepe,1,xcp,3
430998,hyippepe,2,xcp,0.29
430999,hyippepe,20,xcp,2.9
430999,rarepepe,1,xcp,3
430999,pepeparty,2,xcp,1
431001,hyippepe,45,xcp,6.75
431001,hyippepe,5,xcp,0.725
431001,hyippepe,8,xcp,1.16
431004,rarepepe,4,xcp,12
431006,rarepepe,10,xcp,35
431007,shitcoincard,2,xcp,0.21
431007,goxpepe,56,xcp,16.8
431015,rarepepe,2,xcp,8
431018,dankpepe,42,xcp,5.25
431018,goxpepe,4,xcp,1.2
431019,shitcoincard,2,xcp,0.21
431040,hyippepe,5,xcp,0.75
431040,stillpepe,5,xcp,0.5
431040,pepetration,3,xcp,2.25
431043,lovepepetato,3,xcp,3
431044,lovepepetato,1,xcp,1
431047,hyippepe,45,xcp,9
431048,bupepe,100,xcp,1
431048,dankpepe,1,xcp,0.125
431048,trumprare,1,xcp,1
431048,goxpepe,1,xcp,0.3
431053,dankpepe,30,xcp,7.5
431054,lovepepetato,1,xcp,1
431054,bupepe,658,xcp,6.58
431054,goxpepe,4,xcp,1.2
431054,xcp,12,rarepepe,3
431054,bupepe,30,xcp,0.3
431056,lovepepetato,4,xcp,4
431056,pepeparty,1,xcp,0.5
431056,lovepepetato,9,xcp,9
431057,stillpepe,1,xcp,0.1
431058,stillpepe,10,xcp,1
431058,goxpepe,2,xcp,0.6
431065,hyippepe,1,xcp,0.2
431085,goxpepe,30,xcp,9
431107,goxpepe,60,xcp,18
431118,dankpepe,5,xcp,1.75
431118,xcp,1.4,pepeparty,7
431152,luckypepe,100,xcp,0.8
431157,xcp,5,rarepepe,1
431174,darkpillpepe,1,xcp,1.9
431177,rarepepe,1,xcp,10
431177,goxpepe,1,xcp,0.3
431180,dankpepe,5,xcp,1.75
431180,bupepe,10,xcp,0.5
431180,gurupepe,5,xcp,1
431180,pepeparty,4,xcp,2
431180,pepenation,10,xcp,1.2
431180,hyippepe,4,xcp,0.8
431180,hyippepe,6,xcp,1.5
431184,goxpepe,3,xcp,0.9
431267,pepebros,3,xcp,1.65
431272,rarepepe,1,xcp,5
431285,rarepepe,1,xcp,15
431292,pepebros,2,xcp,1.1
431300,rarepepe,1,xcp,18
431300,rarepepe,1,xcp,18
431305,trumprare,1,xcp,0.99
431307,goxpepe,15,xcp,4.5
431313,goxpepe,150,xcp,45
431314,xcp,54,rarepepe,3
431314,xcp,6.93,trumprare,7
431318,gurupepe,1,xcp,0.2
431318,bupepe,2,xcp,0.2
431318,keiserpepe,2,xcp,0.14
431319,rarepepe,1,xcp,19
431319,rarepepe,1,xcp,20
431319,rarepepe,1,xcp,30
431320,pepenation,1,xcp,0.12
431325,pepebros,5,xcp,2.75
431327,luckypepe,150,xcp,1.2
431335,rarepepe,1,xcp,30
431338,rarepepe,1,xcp,35
431413,goxpepe,100,xcp,30
431447,xcp,3.8,cherpepefoil,2
431452,pepebongsphp,1,xcp,0.025
431465,rarepepe,1,xcp,25
431467,tlcpepe,3,xcp,0.75
431473,shitcoincard,6,xcp,0.63
431473,shitcoincard,312,xcp,34.32
431473,shitcoincard,5,xcp,0.45
431477,gurupepe,5,xcp,1
431495,dashpepe,1,xcp,0.11
431496,dashpepe,1,xcp,0.11
431496,dashpepe,8,xcp,0.88
