name,league,rank,prev_rank,off,def,spi
bayern munich,german bundesliga,1,1,3.3,0.5,91.5
real madrid,spanish primera division,2,2,3.5,0.7,90.9
manchester city,barclays premier league,3,3,2.9,0.5,90.0
barcelona,spanish primera division,4,4,3.2,0.6,89.4
liverpool,barclays premier league,5,5,2.9,0.6,87.8
paris saint-germain,french ligue 1,6,6,2.8,0.6,85.7
juventus,italy serie a,7,7,2.4,0.5,84.6
atletico madrid,spanish primera division,8,8,2.1,0.4,82.5
tottenham hotspur,barclays premier league,9,9,2.5,0.7,82.5
as roma,italy serie a,10,10,2.3,0.6,80.8
napoli,italy serie a,11,11,2.3,0.6,80.8
arsenal,barclays premier league,12,12,2.8,0.9,80.5
chelsea,barclays premier league,13,13,2.3,0.7,78.5
internazionale,italy serie a,14,14,2.2,0.7,78.3
borussia dortmund,german bundesliga,15,15,2.4,0.8,78.0
lazio,italy serie a,16,16,2.5,0.9,78.0
fc porto,portuguese liga,17,17,2.2,0.7,77.8
manchester united,barclays premier league,18,18,2.1,0.6,77.6
atalanta,italy serie a,19,19,2.1,0.7,76.9
bayer leverkusen,german bundesliga,20,20,2.3,0.8,76.9
lyon,french ligue 1,21,21,2.3,0.8,76.7
real sociedad,spanish primera division,22,22,2.2,0.8,76.5
valencia,spanish primera division,23,23,2.0,0.6,76.2
tsg hoffenheim,german bundesliga,24,24,2.4,0.9,76.1
sevilla fc,spanish primera division,25,26,2.2,0.8,75.5
cska moscow,russian premier liga,26,27,2.0,0.7,75.4
schalke 04,german bundesliga,27,28,2.0,0.7,75.3
benfica,portuguese liga,28,29,2.0,0.7,74.6
marseille,french ligue 1,29,30,2.2,0.9,74.2
eibar,spanish primera division,30,31,1.8,0.6,73.8
shakhtar donetsk,uefa champions league,31,32,2.2,0.8,73.6
getafe,spanish primera division,32,33,1.7,0.5,73.1
villarreal,spanish primera division,33,34,2.1,0.8,72.4
rb leipzig,german bundesliga,34,35,2.3,1.0,72.2
espanyol,spanish primera division,35,36,1.8,0.6,72.0
ac milan,italy serie a,36,37,1.9,0.8,71.9
real betis,spanish primera division,37,38,2.0,0.8,71.8
besiktas,turkish turkcell super lig,38,39,2.1,0.9,71.6
fenerbahce,turkish turkcell super lig,39,40,2.2,1.0,71.4
as monaco,french ligue 1,40,41,2.1,0.9,71.2
eintracht frankfurt,german bundesliga,41,42,1.9,0.8,70.2
fc salzburg,austrian t-mobile bundesliga,42,25,2.1,1.0,70.1
galatasaray,turkish turkcell super lig,43,43,2.0,0.9,70.0
vfb stuttgart,german bundesliga,44,44,1.8,0.8,70.0
werder bremen,german bundesliga,45,45,1.9,0.8,69.7
celta vigo,spanish primera division,46,46,2.1,1.0,69.5
athletic bilbao,spanish primera division,47,47,1.9,0.8,69.3
borussia monchengladbach,german bundesliga,48,48,2.1,1.0,69.2
fiorentina,italy serie a,49,49,1.9,0.9,68.5
zenit st petersburg,russian premier liga,50,50,1.7,0.7,68.4
alavs,spanish primera division,51,51,1.7,0.8,68.2
fc krasnodar,russian premier liga,52,52,1.8,0.8,68.1
ajax,dutch eredivisie,53,53,2.3,1.2,68.0
spartak moscow,russian premier liga,54,54,1.9,0.9,67.8
girona fc,spanish primera division,55,55,1.9,0.9,67.3
dynamo kiev,uefa europa league,56,56,1.9,0.9,67.3
crystal palace,barclays premier league,57,57,1.9,0.9,67.2
sporting cp,portuguese liga,58,58,1.8,0.9,66.8
braga,portuguese liga,59,59,1.9,0.9,66.3
basel,swiss raiffeisen super league,60,60,2.1,1.2,66.1
leganes,spanish primera division,61,61,1.6,0.8,65.9
torino,italy serie a,62,62,1.8,0.9,65.5
bordeaux,french ligue 1,63,63,1.7,0.9,65.5
psv,dutch eredivisie,64,64,2.4,1.4,65.3
fc augsburg,german bundesliga,65,65,1.8,0.9,65.1
lokomotiv moscow,russian premier liga,66,66,1.5,0.7,64.7
levante,spanish primera division,67,67,1.9,1.0,64.7
hertha berlin,german bundesliga,68,68,1.8,0.9,64.3
leicester city,barclays premier league,69,69,1.9,1.0,64.3
mainz,german bundesliga,70,70,1.7,0.9,63.9
nice,french ligue 1,71,71,1.7,0.9,63.9
young boys,swiss raiffeisen super league,72,72,2.1,1.3,63.9
hannover 96,german bundesliga,73,73,1.9,1.1,63.1
istanbul basaksehir,turkish turkcell super lig,74,74,1.7,1.0,63.0
feyenoord,dutch eredivisie,75,75,2.2,1.4,62.8
deportivo la corua,spanish primera division,76,76,1.8,1.1,62.8
stade rennes,french ligue 1,77,77,1.5,0.8,62.7
newcastle,barclays premier league,78,78,1.6,0.9,62.0
st etienne,french ligue 1,79,79,1.7,0.9,62.0
hamburg sv,german bundesliga,80,80,1.7,1.0,61.9
az,dutch eredivisie,81,81,2.1,1.4,61.5
boca juniors,argentina primera division,82,82,1.7,1.0,61.4
montpellier,french ligue 1,83,83,1.4,0.8,60.4
olympiacos,uefa champions league,84,84,1.6,1.0,60.4
southampton,barclays premier league,85,85,1.6,0.9,60.3
rubin kazan,russian premier liga,86,86,1.3,0.7,60.2
everton,barclays premier league,87,87,1.7,1.0,60.0
fc ufa,russian premier liga,88,88,1.3,0.7,60.0
anderlecht,uefa champions league,89,89,1.7,1.1,59.8
viktoria plzen,uefa europa league,90,90,1.8,1.1,59.8
sc freiburg,german bundesliga,91,91,1.6,1.0,59.5
reims,french ligue 2,92,92,1.5,0.9,59.5
river plate,argentina primera division,93,94,1.6,1.0,59.1
genoa,italy serie a,94,95,1.5,0.9,59.1
vfl wolfsburg,german bundesliga,95,97,1.6,1.0,58.8
watford,barclays premier league,96,98,1.6,1.0,58.7
burnley,barclays premier league,97,99,1.5,0.9,58.6
rapid vienna,austrian t-mobile bundesliga,98,96,1.8,1.3,58.4
sampdoria,italy serie a,99,100,1.7,1.2,57.9
red star belgrade,uefa europa league,100,101,1.9,1.3,57.9
sassuolo,italy serie a,101,102,1.5,1.0,57.8
fc cologne,german bundesliga,102,103,1.9,1.4,57.8
nantes,french ligue 1,103,104,1.4,0.9,57.7
slavia prague,uefa europa league,104,105,1.6,1.0,57.7
grmio,brasileiro srie a,105,106,1.4,0.9,57.5
flamengo,brasileiro srie a,106,110,1.5,1.0,57.3
afc bournemouth,barclays premier league,107,107,1.8,1.2,57.3
angers,french ligue 1,108,108,1.4,0.9,57.2
west ham united,barclays premier league,109,109,1.7,1.2,57.1
palmeiras,brasileiro srie a,110,93,1.5,1.0,56.9
mlaga,spanish primera division,111,111,1.5,1.0,56.9
godoy cruz,argentina primera division,112,112,1.4,1.0,56.7
racing club,argentina primera division,113,113,1.6,1.1,56.4
guingamp,french ligue 1,114,116,1.6,1.2,56.2
udinese,italy serie a,115,117,1.5,1.1,56.2
aik,swedish allsvenskan,116,114,1.5,1.0,55.5
dinamo moscow,russian premier liga,117,119,1.3,0.9,55.3
fc copenhagen,uefa europa league,118,120,1.5,1.1,55.3
terek grozny,russian premier liga,119,121,1.3,0.9,55.3
toulouse,french ligue 1,120,122,1.4,1.0,55.2
dijon fco,french ligue 1,121,124,1.6,1.2,54.9
atletico mineiro,brasileiro srie a,122,118,1.6,1.2,54.8
west bromwich albion,barclays premier league,123,125,1.4,1.0,54.7
sk sturm graz,austrian t-mobile bundesliga,124,123,1.8,1.4,54.5
rostov,russian premier liga,125,127,1.2,0.8,54.5
brighton and hove albion,barclays premier league,126,128,1.4,1.0,54.4
sporting gijn,spanish segunda division,127,126,1.4,1.1,54.3
rosenborg,norwegian tippeligaen,128,115,1.5,1.1,54.1
internacional,brasileiro srie a,129,148,1.3,0.9,54.1
celtic,scottish premiership,130,130,1.5,1.2,53.9
empoli,italy serie b,131,131,1.7,1.3,53.7
so paulo,brasileiro srie a,132,142,1.4,1.1,53.6
cruzeiro,brasileiro srie a,133,141,1.3,0.9,53.5
bologna,italy serie a,134,132,1.4,1.0,53.4
fulham,english league championship,135,136,1.4,1.1,53.3
aek athens,uefa europa league,136,133,1.3,0.9,53.3
crotone,italy serie a,137,134,1.5,1.2,53.0
corinthians,brasileiro srie a,138,129,1.3,1.0,52.9
las palmas,spanish primera division,139,135,1.5,1.2,52.9
monterrey,mexican primera division torneo apertura,140,137,1.6,1.2,52.8
defensa y justicia,argentina primera division,141,138,1.3,1.0,52.7
chievo verona,italy serie a,142,140,1.4,1.1,52.3
apoel nicosia,uefa champions league,143,143,1.5,1.2,52.1
fk partizan belgrade,uefa europa league,144,144,1.7,1.4,52.1
stoke city,barclays premier league,145,145,1.4,1.2,52.0
trabzonspor,turkish turkcell super lig,146,146,1.7,1.4,51.9
cagliari,italy serie a,147,147,1.4,1.1,51.8
strasbourg,french ligue 1,148,149,1.5,1.2,51.8
rijeka,uefa europa league,149,150,1.4,1.1,51.7
nimes,french ligue 2,150,151,1.5,1.2,51.5
fc astana,uefa europa league,151,152,1.6,1.3,51.3
wolverhampton,english league championship,152,153,1.3,1.1,51.3
spal,italy serie a,153,154,1.3,1.1,51.3
ca independiente,argentina primera division,154,155,1.2,0.9,51.2
ural sverdlovsk oblast,russian premier liga,155,156,1.2,1.0,51.2
fc arsenal tula,russian premier liga,156,157,1.5,1.3,50.7
vitesse,dutch eredivisie,157,158,1.8,1.6,50.6
tigres uanl,mexican primera division torneo apertura,158,159,1.3,1.1,50.6
osasuna,spanish segunda division,159,160,1.1,0.8,50.5
steaua bucuresti,uefa europa league,160,162,1.3,1.1,50.4
ludogorets,uefa europa league,161,163,1.4,1.2,50.3
sd huesca,spanish segunda division,162,139,1.3,1.1,50.3
lille,french ligue 1,163,164,1.5,1.3,50.3
real zaragoza,spanish segunda division,164,169,1.4,1.2,50.3
talleres de crdoba,argentina primera division,165,166,1.2,1.0,50.1
kasimpasa,turkish turkcell super lig,166,167,1.7,1.5,49.9
union santa fe,argentina primera division,167,168,1.2,1.0,49.8
toluca,mexican primera division torneo apertura,168,170,1.4,1.2,49.7
santos laguna,mexican primera division torneo apertura,169,171,1.5,1.4,49.7
aston villa,english league championship,170,165,1.3,1.1,49.6
velez sarsfield,argentina primera division,171,172,1.3,1.1,49.6
amiens,french ligue 1,172,173,1.2,1.0,49.6
djurgardens if,swedish allsvenskan,173,229,1.4,1.2,49.6
huddersfield town,barclays premier league,174,175,1.2,1.0,49.2
swansea city,barclays premier league,175,176,1.3,1.1,49.2
fc luzern,swiss raiffeisen super league,176,178,1.4,1.3,49.0
real valladolid,spanish segunda division,177,174,1.5,1.4,48.7
fluminense,brasileiro srie a,178,189,1.3,1.2,48.6
club amrica,mexican primera division torneo apertura,179,180,1.3,1.2,48.5
fc zurich,swiss raiffeisen super league,180,181,1.5,1.3,48.5
fc sion,swiss raiffeisen super league,181,182,1.6,1.4,48.5
colon santa fe,argentina primera division,182,183,1.1,1.0,48.4
sk brann,norwegian tippeligaen,183,215,1.4,1.2,48.3
rayo vallecano,spanish segunda division,184,190,1.5,1.4,48.3
hapoel be'er,uefa europa league,185,184,1.4,1.2,48.3
cardiff city,english league championship,186,185,1.3,1.2,48.3
vasco da gama,brasileiro srie a,187,161,1.3,1.1,48.3
san lorenzo,argentina primera division,188,186,1.1,1.0,48.2
cruz azul,mexican primera division torneo apertura,189,187,1.3,1.2,48.1
cadiz,spanish segunda division,190,179,1.0,0.9,48.1
konyaspor,turkish turkcell super lig,191,188,1.2,1.1,48.0
caen,french ligue 1,192,191,1.2,1.1,47.9
holstein kiel,german 2. bundesliga,193,193,1.5,1.4,47.8
atltico paranaense,brasileiro srie a,194,194,1.2,1.1,47.7
huracn,argentina primera division,195,195,1.3,1.2,47.5
parma,italy serie b,196,197,1.1,1.0,47.4
malmo ff,swedish allsvenskan,197,177,1.4,1.4,47.3
amkar perm,russian premier liga,198,198,1.0,0.9,47.3
stersunds fk,swedish allsvenskan,199,214,1.4,1.4,47.1
benevento,italy serie a,200,199,1.4,1.4,46.9
maccabi tel-aviv,uefa europa league,201,200,1.3,1.2,46.9
belgrano cordoba,argentina primera division,202,201,1.2,1.1,46.9
1. fc nrnberg,german 2. bundesliga,203,202,1.4,1.3,46.8
brentford,english league championship,204,203,1.3,1.3,46.8
santos,brasileiro srie a,205,192,1.2,1.2,46.8
argentinos juniors,argentina primera division,206,204,1.1,1.1,46.7
estudiantes,argentina primera division,207,205,1.0,1.0,46.7
troyes,french ligue 1,208,206,1.2,1.2,46.6
alanyaspor,turkish turkcell super lig,209,207,1.6,1.6,46.4
baha,brasileiro srie a,210,225,1.2,1.2,46.1
ifk norrkoping,swedish allsvenskan,211,242,1.5,1.5,45.9
sport recife,brasileiro srie a,212,235,1.3,1.3,45.9
le havre,french ligue 2,213,210,1.1,1.1,45.6
tijuana,mexican primera division torneo apertura,214,211,1.2,1.2,45.4
vtoria,brasileiro srie a,215,209,1.4,1.4,45.4
fc ingolstadt 04,german 2. bundesliga,216,212,1.4,1.4,45.3
tenerife,spanish segunda division,217,221,1.3,1.3,45.3
banfield,argentina primera division,218,216,1.0,1.0,44.9
middlesbrough,english league championship,219,217,1.2,1.2,44.8
necaxa,mexican primera division torneo apertura,220,218,1.2,1.2,44.8
