president,subgroup,modeldate,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo,timestamp
donald trump,voters,5/30/2018,43.83958,47.86734,39.81181,51.92925,55.54719,48.31131,13:43:00 30 may 2018
donald trump,adults,5/30/2018,41.6642,46.19542,37.13298,52.75167,57.16856,48.33477,13:42:47 30 may 2018
donald trump,all polls,5/30/2018,42.29955,47.36211,37.23699,52.50706,56.68705,48.32707,13:42:34 30 may 2018
donald trump,voters,5/29/2018,43.78471,48.00598,39.56345,51.98037,55.68697,48.27377,12:18:00 29 may 2018
donald trump,adults,5/29/2018,41.76685,46.27399,37.2597,52.83926,57.10227,48.57626,12:17:47 29 may 2018
donald trump,all polls,5/29/2018,42.40171,47.43848,37.36494,52.54118,56.67525,48.4071,12:17:34 29 may 2018
donald trump,all polls,5/28/2018,42.58736,47.59115,37.58356,52.37592,56.55123,48.2006,13:07:32 28 may 2018
donald trump,adults,5/28/2018,41.99337,46.44605,37.54069,52.63074,56.84883,48.41265,13:07:45 28 may 2018
donald trump,voters,5/28/2018,43.84,48.07837,39.60162,51.94191,55.66272,48.2211,13:07:57 28 may 2018
donald trump,voters,5/27/2018,43.79807,47.93915,39.65698,52.02154,55.67247,48.37062,10:43:50 28 may 2018
donald trump,adults,5/27/2018,42.22683,46.71849,37.73516,52.47744,56.71225,48.24262,10:43:24 28 may 2018
donald trump,all polls,5/27/2018,42.70038,47.60936,37.7914,52.33014,56.44835,48.21194,10:42:58 28 may 2018
donald trump,voters,5/26/2018,43.79807,47.93915,39.65698,52.02154,55.67247,48.37062,13:24:58 26 may 2018
donald trump,adults,5/26/2018,42.22683,46.71849,37.73516,52.47744,56.71225,48.24262,13:24:46 26 may 2018
donald trump,all polls,5/26/2018,42.70038,47.60936,37.7914,52.33014,56.44835,48.21194,13:24:32 26 may 2018
donald trump,voters,5/25/2018,43.59041,47.81569,39.36513,52.06197,55.76548,48.35845,14:46:59 25 may 2018
donald trump,adults,5/25/2018,41.50639,45.83837,37.1744,52.96363,57.37342,48.55385,14:46:47 25 may 2018
donald trump,all polls,5/25/2018,42.25806,47.25497,37.26115,52.62941,56.86843,48.3904,14:46:34 25 may 2018
donald trump,all polls,5/24/2018,42.22643,47.19799,37.25487,52.69279,56.86397,48.52161,21:44:32 24 may 2018
donald trump,adults,5/24/2018,41.47203,45.78203,37.16203,53.01518,57.25254,48.77782,21:44:45 24 may 2018
donald trump,voters,5/24/2018,43.5501,47.72892,39.37128,52.11543,55.78275,48.44812,21:44:58 24 may 2018
donald trump,voters,5/23/2018,43.61057,47.892,39.32914,52.01884,55.57538,48.46231,11:47:58 23 may 2018
donald trump,adults,5/23/2018,41.43077,45.70835,37.15319,53.05821,57.36764,48.74878,11:47:45 23 may 2018
donald trump,all polls,5/23/2018,42.15873,47.17198,37.14547,52.63732,56.82398,48.45066,11:47:32 23 may 2018
donald trump,adults,5/22/2018,41.62594,45.79783,37.45405,53.08809,57.27891,48.89727,21:49:44 22 may 2018
donald trump,voters,5/22/2018,44.31966,48.31804,40.32127,51.37411,54.87713,47.87108,21:49:56 22 may 2018
donald trump,all polls,5/22/2018,42.2518,47.08882,37.41478,52.59256,56.75544,48.42968,21:49:31 22 may 2018
donald trump,adults,5/21/2018,41.47403,45.71925,37.22882,53.08644,57.38991,48.78297,18:36:45 21 may 2018
donald trump,voters,5/21/2018,43.82499,47.70023,39.94974,51.68853,55.20375,48.17332,18:36:57 21 may 2018
donald trump,all polls,5/21/2018,42.01738,46.76234,37.27242,52.68593,56.84747,48.52439,18:36:32 21 may 2018
donald trump,all polls,5/20/2018,42.38191,47.02366,37.74016,52.34803,56.14386,48.55221,10:19:59 21 may 2018
donald trump,voters,5/20/2018,43.97738,47.95423,40.00054,51.6349,55.18774,48.08205,10:21:28 21 may 2018
donald trump,adults,5/20/2018,41.89252,45.9326,37.85244,52.66195,56.54877,48.77513,10:20:50 21 may 2018
