country,net_approval,approve,disapprove,dk/refused
canada,-35,25,60,15
france,-31,31,62,7
germany,-51,20,71,9
greece,-17,33,50,17
hungary,-6,36,42,22
italy,-12,33,45,22
netherlands,-42,26,68,6
poland,-13,27,40,33
spain,-30,31,61,9
sweden,-42,21,63,16
united kingdom,-33,25,58,17
russia,0,38,38,25
australia,-34,24,58,17
india,2,27,25,49
indonesia,-1,37,38,24
japan,-19,29,48,23
philippines,-22,34,56,9
south korea,-38,25,63,12
vietnam,-8,38,46,17
israel,41,67,26,7
jordan,22,59,37,4
lebanon,-7,42,49,9
tunisia,-4,37,41,22
turkey,-13,29,42,29
ghana,-7,42,49,9
kenya,-22,34,56,10
nigeria,-3,45,48,8
senegal,-35,26,61,13
south africa,-14,35,49,16
tanzania,-6,43,49,8
argentina,-10,37,47,16
brazil,-6,41,47,12
chile,-5,42,47,11
colombia,-25,33,58,9
mexico,-26,32,58,10
peru,-15,39,54,8
venezuela,-14,38,52,10
